ID,Ignore,Attribute,Name,Value,Type,Comment
CP02PMUO-WF001-03-CTDPFK999_ID_CL1,,,serial_number,127,str,
CP02PMUO-WF001-04-FLORTK999_ID_CL1,,,serial_number,1100,str,
CP02PMUO-WF001-05-PARADK999_ID_CL1,,,serial_number,20467,str,
,,,,,,
CP02PMUI Deployment 04/2014,,,,,,
CP02PMUI-WP001_PD_CL1,,,serial_number,ML12714-01,str,
CP02PMUI-SB001_PD_CL1,Yes,,serial_number,,str,
CP02PMUI-SB001_MOPAK,Yes,,serial_number,,str,
CP02PMUI-SB001_STC,Yes,,serial_number,,str,
CP02PMUI-RI001_PD_CL1,Yes,,serial_number,,str,
CP02PMUI-RI001-01-ADCPTG999_ID_CL1,Yes,,serial_number,,str,
CP02PMUI-WF001_PD_CL1,Yes,,serial_number,,str,
CP02PMUI-WF001-01-VEL3DK999_ID_CL1,Yes,,serial_number,,str,
CP02PMUI-WF001-02-DOFSTK999_ID_CL1,Yes,,serial_number,,str,
CP02PMUI-WF001-03-CTDPFK999_ID_CL1,Yes,,serial_number,,str,
CP02PMUI-WF001-04-FLORTK999_ID_CL1,Yes,,serial_number,,str,
CP02PMUI-WF001-05-PARADK999_ID_CL1,Yes,,serial_number,,str,
